SENSORIMOTOR_SOURCE_DOMAIN,TYPE,IMAGE_SCHEMA_ANNOTATION,SOURCE_DOMAIN_FRAME,"FrameNet (frame), MetaNet (framedata)",TARGET_DOMAIN_FRAME,"FrameNet (frame), MetaNet (framedata)",CONCEPTUAL_METAPHOR,Language,LinguisticExamples,[SOURCE],TAKEN FROM,COMMENT ,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally gave the idea to Sam.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally took the idea from Sam.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally traded ideas with Sam.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally sold the idea to the highest bidder.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,IBM bought the idea from him.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally has an idea.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally put the idea aside.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally threw the idea at Sam.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally lost her idea.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally found an idea in the book.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally carries that idea around with her all the time.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Sally searched for an idea all day.,"[Lakoff et al., 1991:94]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,It`s difficult to put my ideas into words.,"[Lakoff & Johnson, 1980:11]",IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,What’s the matter?,[Jäkel:150],IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,"The distribution of sex cells, however, was a different matter.",[Jäkel:150],IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,It is difficult for unilateralists to admit there is another side to the missile question.,[Jäkel:150],IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,That is a very hard question to answer.,[Jäkel:150],IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,It’s a tough problem.,[Jäkel:150],IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,Let us turn to less weighty matters.,[Jäkel:150],IScat ,corrected from “IDEAS ARE SOLID OBJECTS” to “IDEAS ARE OBJECTS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Idea,framedata:Idea,IDEAS ARE OBJECTS ,en,You'd need an electron microscope to find the point of this essay. ,Reddy (1979),MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Meaning,frame:LinguisticMeaning,MEANINGS ARE OBJECTS,en,Don’t force your meaning into the wrong words.,"[Lakoff & Johnson, 1980:11]",IScat ,"Not in MetaNet, change to IDEA ARE OBJECT?",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Meaning,frame:LinguisticMeaning,MEANINGS ARE OBJECTS,en,The sentence is without meaning.,"[Lakoff & Johnson, 1980:11]",IScat ,"Not in MetaNet, change to IDEA ARE OBJECT?",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Time,frame:Timespan,TIME IS AN OBJECT,de,Hast du etwas Zeit für mich?,[Jäkel:24],IScat ,Not in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Time,frame:Timespan,TIME IS AN OBJECT,de,Wir haben noch viel/jede Menge/reichlich Zeit.,[Jäkel:24],IScat ,Not in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Time,frame:Timespan,TIME IS AN OBJECT,de,Dafür musst du etwas Zeit mitbringen.,[Jäkel:24],IScat ,Not in MetaNet,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Commodity,framedata:Commodity,Time,frame:Timespan,TIME IS A COMMODITY,en,Don't waste your time.,Elise,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Resource,framedata:Resource,Time,frame:Timespan,TIME IS A RESOURCE,en,Our time is valuable.,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Resource,framedata:Resource,Time,frame:Timespan,TIME IS A RESOURCE,en,We don't have much time.,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Buildings,Career,framedata:Career,CAREER IS A BUILDING,en,Stars whose careers collapsed in a relatively short amount of time ,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Career,framedata:Career,CAREER IS A COMPLEX STRUCTURE,en,How to make a career out of things you would do even for free. ,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Causation,frame:Causation,CAUSATION IS OBJECT TRANSFER,en,The noise is giving me a headache. ,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Resource,framedata:Physical_resource,Finance,framedata:Financial_resource,FINANCIAL RESOURCES ARE PHYSICAL RESOURCES,en,"Again, if by any chance, we should ultimately win out in such a war, what would it cost us in treasure and in blood? ","Book: Self-helps for the citizen soldier: being a popular explanation of things ... By James Alfred Moss, Merch Bradt Stewart ",MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object_manipulation,framedata:Object_manipulation,Thinking,frame:Cogitation,THINKING IS OBJECT MANIPULATION,en,Let's toss some ideas around. ,Elise,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Thinking,frame:Cogitation,UNDERSTANDING IS GRASPING,en,He just can't seem to grasp the concept. ,MetaNet,MetaNet,"Subclass of ""THINKING IS OBJECT MANIPULATION” in MetaNet",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Object,frame:Entity,Thinking,frame:Cogitation,UNDERSTANDING IS GRASPING,en,He got a good handle on the subject matter.,MetaNet,MetaNet,"Subclass of ""THINKING IS OBJECT MANIPULATION” in MetaNet",
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Physical_injury,frame:Experience_bodily_harm,Harm,framedata:Environmental_harm,ENVIRONMENTAL HARM IS PHYSICAL INJURY,en,The oil spill has caused a shock to the environment. ,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Physical_injury,frame:Experience_bodily_harm,Harm,framedata:Environmental_harm,ENVIRONMENTAL HARM IS PHYSICAL INJURY,en,Smog pollution is an environmental malaise. ,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Physical_injury,frame:Experience_bodily_harm,Harm,framedata:Environmental_harm,ENVIRONMENTAL HARM IS PHYSICAL INJURY,en,Ecologists are nursing the Bay back to health. ,MetaNet,MetaNet,,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The time will come when…,"[Lakoff & Johnson, 1980:42]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The time has long since gone when…,"[Lakoff & Johnson, 1980:42]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The time for action has arrived.,"[Lakoff & Johnson, 1980:42]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,Coming up in the weeks ahead …,"[Lakoff & Johnson, 1980:42]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,I look forward to the arrival of Christmas.,"[Lakoff & Johnson, 1980:42]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,I’m looking ahead to Christmas.,"[Kövecses, 2002:34]",IScat ,,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,"Before us is a great opportunity, and we don’t want it to pass us by.","[Lakoff & Johnson, 1980:42]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,I can’t face the future.,"[Lakoff & Johnson, 1980:43]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The face of things to come …,"[Lakoff & Johnson, 1980:43]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,Let’s meet the future head-on.,"[Lakoff & Johnson, 1980:43]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The time will come when there are no more typewriters.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The time has long since gone when you could mail a letter for three cents.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The deadline is approaching.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The time to start thinking about irreversible environmental decay is here.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,Thanksgiving is coming up on us.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The summer just zoomed by.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,Time is flying by.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,The time for end-of-summer sales has passed.,"[Lakoff &,Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,I can see the face of things to come.,"[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,"In the weeks following next Tuesday, there will be very little to do.","[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,"During the week preceding last Tuesday, things were impossibly hectic around here.","[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,"On the preceding day, I took a long walk.","[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,"In the following weeks, there will be no vacations.","[Lakoff & Johnson, 1999:143]",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,Come what come may. Time and the hour runs through the roughest day.,"[Lakoff & Johnson, 1999:144] (Macbeth)",IScat ,corrected target domain to MOVING OBJECT according to MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,Time flies.,MetaNet,MetaNet,,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Moving_object,framedata:Moving_object,Time,frame:Timespan,TIME IS A MOVING OBJECT,en,On the preceding day . . .,"[Kövecses, 2002:34]",IScat ,,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,There’s going to be trouble along the road.,"[Kövecses, 2002:34, Lakoff et al.:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,His stay in Russia extended over many years.,"[Kövecses, 2002:34]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,He passed the time happily.,"[Kövecses, 2002:34]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,We’re coming up on Christmas.,"[Kövecses, 2002:34, Lakoff:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,We’re getting close to Christmas.,"[Kövecses, 2002:34, Lakoff:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,Will you be staying a long time or a short time?,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,What will be the length of his visit?,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,His visit to Russia extended over many years.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,Let’s spread the conference over two weeks.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,The conference runs from the first to the tenth of the month.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,She arrived on time.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,He’ll have his degree within two years.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,I’ll be there in a minute.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,He left at 10 o’clock.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,We passed the deadline.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,We’re halfway through September.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en,We’ve reached June already.,"[Lakoff & Johnson, 1999:146]",IScat ,checked in MetaNet,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en, That's all behind us now. ,MetaNet,MetaNet,,
SOURCE_PATH_GOAL,IMAGE_SCHEMA,SOURCE_PATH_GOAL,Motion_along_a_path,framedata:Motion_along_a_path,Time,frame:Timespan,TIME IS A LANDSCAPE THROUGH WHICH THE OBSERVER MOVES,en, You can't go back in time! ,MetaNet,MetaNet,,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Possession,frame:Possession,Attribute,framedata:Attribute,ATTRIBUTES ARE POSSESSIONS,en,She has a nice sense of humor.,"[Lakoff et al., 1991:11]",IScat ,corrected from “PROPERTIES ARE POSSESSIONS” to “ATTRIBUTES ARE POSSESSIONS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Possession,frame:Possession,Attribute,framedata:Attribute,ATTRIBUTES ARE POSSESSIONS,en,He lost his tolerance for alcohol.,"[Lakoff et al., 1991:11]",IScat ,corrected from “PROPERTIES ARE POSSESSIONS” to “ATTRIBUTES ARE POSSESSIONS”,
OBJECT,SPATIAL_PRIMITIVE,OBJECT,Possession,frame:Possession,Attribute,framedata:Attribute,ATTRIBUTES ARE POSSESSIONS,en,She gained a new equanimity.,"[Lakoff et al., 1991:11]",IScat ,corrected from “PROPERTIES ARE POSSESSIONS” to “ATTRIBUTES ARE POSSESSIONS”,
